,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
10,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
15,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
20,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
25,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
30,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
35,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
40,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
45,222.0,0.099099,0.09009,0.81081,250.93,1.4202,-0.9954700000000001,0.57528
50,222.0,0.099099,0.09009,0.81081,250.93,1.4202,-0.9954700000000001,0.57528
55,222.0,0.099099,0.09009,0.81081,250.93,1.4202,-0.9954700000000001,0.57528
60,222.0,0.099099,0.09009,0.81081,250.93,1.4202,-0.9954700000000001,0.57528
65,222.0,0.099099,0.09009,0.81081,250.93,1.4202,-0.9954700000000001,0.57528
70,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
75,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
80,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
85,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
90,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
95,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
100,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
105,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
110,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
115,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
120,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
125,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
130,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
135,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
140,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
145,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
150,222.0,0.099099,0.09009,0.81081,250.93,1.4202,-0.9954700000000001,0.57528
155,222.0,0.099099,0.09009,0.81081,250.93,1.4202,-0.9954700000000001,0.57528
160,222.0,0.099099,0.09009,0.81081,250.93,1.4202,-0.9954700000000001,0.57528
165,222.0,0.099099,0.09009,0.81081,250.93,1.4202,-0.9954700000000001,0.57528
170,222.0,0.099099,0.09009,0.81081,250.93,1.4202,-0.9954700000000001,0.57528
175,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
180,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
185,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
190,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
195,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
200,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
205,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
210,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
215,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
220,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
225,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
230,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
235,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
240,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
245,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
250,22.0,0.090909,0.0,0.90909,-2.1717,3.3318,-9.0887,6.7568
255,222.0,0.099099,0.09009,0.81081,250.93,1.4202,-0.9954700000000001,0.57528
