Profile,Rating [kW]
1,1.5
2,2
3,3.5
4,2.5
5,4
6,2
7,4
8,4
9,2
10,4
11,2.5
12,4
13,4
14,3
15,4
16,2.5
17,3.5
18,3
19,2.5
20,4
21,4
22,3
23,2.5
24,4
25,3.5
26,4
27,3
28,3
29,2.5
30,2
31,3
32,2.5
33,3
34,4
35,4
36,3
37,4
38,3.5
39,3
40,4
41,4
42,3
43,4
44,3.5
45,3.5
46,4
47,4
48,3
49,3.5
50,3
51,4
52,4
53,2.5
54,2.5
55,3
56,4
57,4
58,4
59,4
60,3.5
61,1.5
62,3.5
63,3
64,2.5
65,1.5
66,3.5
67,4
68,4
69,2.5
70,3.5
71,2
72,4
73,2
74,2
75,2.5
76,3
77,4
78,3
79,3.5
80,2.5
81,1.5
82,2
83,3
84,2.5
85,2.5
86,1.5
87,1.5
88,3
89,2.5
90,4
91,1.5
92,4
93,4
94,2
95,3.5
96,2
97,4
98,3
99,2
100,3
